fecha|nivel|trade_type|price|amount|profit|volatility|rsi|stochrsi_k|stochrsi_d|description
2025-03-02 12:46:07,016|INFO|sell|91421.84|0.0019|12.436754000000006|5.459038309008699|81.67576284356633|0.6666666666666666|0.35096911007097864|TAKE PROFIT
2025-03-02 12:46:07,357|INFO|sell|91421.84|0.00181|11.870975500000005|5.459038309008699|81.67576284356633|0.6666666666666666|0.35096911007097864|TAKE PROFIT
2025-03-02 12:46:07,709|INFO|sell|91421.84|0.00163|10.665383399999989|5.459038309008699|81.67576284356633|0.6666666666666666|0.35096911007097864|TAKE PROFIT
2025-03-02 12:46:08,064|INFO|sell|91421.84|0.00155|10.180368999999994|5.459038309008699|81.67576284356633|0.6666666666666666|0.35096911007097864|TAKE PROFIT
2025-03-03 14:36:41,829|INFO|buy|87855.14|0.00534|0|18.97337464155101|35.385631546815645|0.0402843122741905|0.03262140984481304|BUY
2025-03-03 17:11:46,566|INFO|buy|86238.86|0.00517|0|0.5757321981063995|32.918224564098935|0.06030248526373444|0.03508264134252999|BUY
2025-03-03 17:42:48,129|INFO|buy|86432.61|0.0049|0|0.903447553911643|34.01923809294391|0.07122533888752891|0.038723592550461476|BUY
2025-03-03 18:13:49,111|INFO|buy|86039.98|0.00467|0|1.4157710147941645|33.918857404798985|0.07501601344515532|0.0411225117000294|BUY
2025-03-03 18:44:50,106|INFO|buy|86373.71|0.00442|0|1.6887777333994645|35.72807310347734|0.09295100251730803|0.047100841390746974|BUY
2025-03-03 19:15:51,099|INFO|buy|86156.01|0.00421|0|0.7778672793233999|35.71182466275732|0.14919125397324717|0.09385794490343048|BUY
2025-03-03 19:46:52,101|INFO|buy|86557.41|0.00398|0|1.1007420858921662|36.94323399527417|0.1612786356970959|0.09788707214471341|BUY
2025-03-03 20:17:53,098|INFO|buy|86443.98|0.00379|0|0.9322032129246127|37.07622038272423|0.22634730101481595|0.16165513150870417|BUY
2025-03-03 20:48:54,660|INFO|buy|86068.01|0.00362|0|1.5914555808914912|35.3427832353084|0.20932095973336903|0.15597968441488852|BUY
